Throughput,Latency,Power,Buffer Depth,Flit Size,NUM_VC,r2h_len,r2r_len
0.438,12.7206,1.61393e-07,2,16,1,0.5,0.5
0.438,12.7206,1.66459e-07,2,16,1,0.5,1.0
0.438,12.7206,1.71504e-07,2,16,1,0.5,1.5
0.438,12.7206,1.76569e-07,2,16,1,0.5,2.0
0.438,12.7206,1.81614e-07,2,16,1,0.5,2.5
0.438,12.7206,1.86509e-07,2,16,1,0.5,3.0
0.438,12.7206,1.61399e-07,2,16,1,1.0,0.5
0.438,12.7206,1.66465e-07,2,16,1,1.0,1.0
0.438,12.7206,1.71509e-07,2,16,1,1.0,1.5
0.438,12.7206,1.76575e-07,2,16,1,1.0,2.0
0.438,12.7206,1.8162e-07,2,16,1,1.0,2.5
0.438,12.7206,1.86515e-07,2,16,1,1.0,3.0
0.438,12.7206,1.61416e-07,2,16,1,1.5,0.5
0.438,12.7206,1.66482e-07,2,16,1,1.5,1.0
0.438,12.7206,1.71527e-07,2,16,1,1.5,1.5
0.438,12.7206,1.76592e-07,2,16,1,1.5,2.0
0.438,12.7206,1.81637e-07,2,16,1,1.5,2.5
0.438,12.7206,1.86532e-07,2,16,1,1.5,3.0
0.438,12.7206,1.61442e-07,2,16,1,2.0,0.5
0.438,12.7206,1.66508e-07,2,16,1,2.0,1.0
0.438,12.7206,1.71553e-07,2,16,1,2.0,1.5
0.438,12.7206,1.76618e-07,2,16,1,2.0,2.0
0.446,14.588,1.82999e-07,2,16,1,2.0,2.5
0.446,14.588,1.88086e-07,2,16,1,2.0,3.0
0.446,14.588,1.62044e-07,2,16,1,2.5,0.5
0.446,14.588,1.67309e-07,2,16,1,2.5,1.0
0.446,14.588,1.72551e-07,2,16,1,2.5,1.5
0.446,14.588,1.77815e-07,2,16,1,2.5,2.0
0.446,14.588,1.83057e-07,2,16,1,2.5,2.5
0.446,14.588,1.88144e-07,2,16,1,2.5,3.0
0.446,14.588,1.62049e-07,2,16,1,3.0,0.5
0.446,14.588,1.67313e-07,2,16,1,3.0,1.0
0.446,14.588,1.72555e-07,2,16,1,3.0,1.5
0.446,14.588,1.77819e-07,2,16,1,3.0,2.0
0.446,14.588,1.83061e-07,2,16,1,3.0,2.5
0.446,14.588,1.88148e-07,2,16,1,3.0,3.0
0.472111,13.9868,2.54863e-07,2,16,2,0.5,0.5
0.472111,13.9868,2.60373e-07,2,16,2,0.5,1.0
0.472111,13.9868,2.65859e-07,2,16,2,0.5,1.5
0.472111,13.9868,2.71368e-07,2,16,2,0.5,2.0
0.472111,13.9868,2.76855e-07,2,16,2,0.5,2.5
0.472111,13.9868,2.82179e-07,2,16,2,0.5,3.0
0.472111,13.9868,2.54869e-07,2,16,2,1.0,0.5
0.472111,13.9868,2.60379e-07,2,16,2,1.0,1.0
0.419,12.1125,2.63012e-07,2,16,2,1.0,1.5
