Throughput,Latency,Power,Buffer Depth,Flit Size,NUM_VC,r2h_len,r2r_len
0.48,9.07209,1.60162e-07,2,16,1,0.5,0.5
0.48,9.07209,1.64791e-07,2,16,1,0.5,1.0
0.48,9.07209,1.694e-07,2,16,1,0.5,1.5
0.48,9.07209,1.74029e-07,2,16,1,0.5,2.0
0.48,9.07209,1.78638e-07,2,16,1,0.5,2.5
0.48,9.07209,1.83111e-07,2,16,1,0.5,3.0
0.48,9.07209,1.60168e-07,2,16,1,1.0,0.5
0.48,9.07209,1.64797e-07,2,16,1,1.0,1.0
0.48,9.07209,1.69406e-07,2,16,1,1.0,1.5
0.48,9.07209,1.74034e-07,2,16,1,1.0,2.0
0.48,9.07209,1.78644e-07,2,16,1,1.0,2.5
0.48,9.07209,1.83117e-07,2,16,1,1.0,3.0
0.48,9.07209,1.60185e-07,2,16,1,1.5,0.5
0.48,9.07209,1.64814e-07,2,16,1,1.5,1.0
0.48,9.07209,1.69423e-07,2,16,1,1.5,1.5
0.48,9.07209,1.74052e-07,2,16,1,1.5,2.0
0.48,9.07209,1.78661e-07,2,16,1,1.5,2.5
0.48,9.07209,1.83134e-07,2,16,1,1.5,3.0
0.48,9.07209,1.60211e-07,2,16,1,2.0,0.5
0.48,9.07209,1.6484e-07,2,16,1,2.0,1.0
0.48,9.07209,1.69449e-07,2,16,1,2.0,1.5
0.48,9.07209,1.74078e-07,2,16,1,2.0,2.0
0.48,9.07209,1.78687e-07,2,16,1,2.0,2.5
0.48,9.07209,1.8316e-07,2,16,1,2.0,3.0
0.48,9.07209,1.60269e-07,2,16,1,2.5,0.5
0.48,9.07209,1.64897e-07,2,16,1,2.5,1.0
0.48,9.07209,1.69507e-07,2,16,1,2.5,1.5
0.48,9.07209,1.74135e-07,2,16,1,2.5,2.0
0.48,9.07209,1.78744e-07,2,16,1,2.5,2.5
0.48,9.07209,1.83217e-07,2,16,1,2.5,3.0
0.48,9.07209,1.60273e-07,2,16,1,3.0,0.5
0.48,9.07209,1.64902e-07,2,16,1,3.0,1.0
0.48,9.07209,1.69511e-07,2,16,1,3.0,1.5
