Throughput,Latency,Power,Buffer Depth,Flit Size,NUM_VC,r2h_len,r2r_len
0.360111,7.36049,1.56244e-07,2,16,1,0.5,0.5
0.360111,7.36049,1.59426e-07,2,16,1,0.5,1.0
0.360111,7.36049,1.62595e-07,2,16,1,0.5,1.5
0.360111,7.36049,1.65778e-07,2,16,1,0.5,2.0
0.360111,7.36049,1.68947e-07,2,16,1,0.5,2.5
0.360111,7.36049,1.72022e-07,2,16,1,0.5,3.0
0.360111,7.36049,1.5625e-07,2,16,1,1.0,0.5
0.360111,7.36049,1.59432e-07,2,16,1,1.0,1.0
0.360111,7.36049,1.62601e-07,2,16,1,1.0,1.5
0.360111,7.36049,1.65784e-07,2,16,1,1.0,2.0
0.360111,7.36049,1.68953e-07,2,16,1,1.0,2.5
0.360111,7.36049,1.72028e-07,2,16,1,1.0,3.0
0.360111,7.36049,1.56267e-07,2,16,1,1.5,0.5
0.360111,7.36049,1.5945e-07,2,16,1,1.5,1.0
0.360111,7.36049,1.62619e-07,2,16,1,1.5,1.5
0.360111,7.36049,1.65801e-07,2,16,1,1.5,2.0
0.360111,7.36049,1.6897e-07,2,16,1,1.5,2.5
0.360111,7.36049,1.72045e-07,2,16,1,1.5,3.0
0.360111,7.36049,1.56293e-07,2,16,1,2.0,0.5
0.360111,7.36049,1.59475e-07,2,16,1,2.0,1.0
0.360111,7.36049,1.62644e-07,2,16,1,2.0,1.5
0.360111,7.36049,1.65827e-07,2,16,1,2.0,2.0
0.360111,7.36049,1.68996e-07,2,16,1,2.0,2.5
0.313222,6.42614,1.69746e-07,2,16,1,2.0,3.0
0.313222,6.42614,1.55531e-07,2,16,1,2.5,0.5
0.313222,6.42614,1.58409e-07,2,16,1,2.5,1.0
0.313222,6.42614,1.61276e-07,2,16,1,2.5,1.5
0.313222,6.42614,1.64155e-07,2,16,1,2.5,2.0
0.313222,6.42614,1.67022e-07,2,16,1,2.5,2.5
0.313222,6.42614,1.69804e-07,2,16,1,2.5,3.0
0.313222,6.42614,1.55535e-07,2,16,1,3.0,0.5
0.313222,6.42614,1.58414e-07,2,16,1,3.0,1.0
0.313222,6.42614,1.6128e-07,2,16,1,3.0,1.5
0.313222,6.42614,1.64159e-07,2,16,1,3.0,2.0
0.313222,6.42614,1.67026e-07,2,16,1,3.0,2.5
0.313222,6.42614,1.69808e-07,2,16,1,3.0,3.0
0.307556,6.12428,2.47523e-07,2,16,2,0.5,0.5
0.307556,6.12428,2.50347e-07,2,16,2,0.5,1.0
0.307556,6.12428,2.53159e-07,2,16,2,0.5,1.5
0.307556,6.12428,2.55983e-07,2,16,2,0.5,2.0
0.307556,6.12428,2.58795e-07,2,16,2,0.5,2.5
0.307556,6.12428,2.61524e-07,2,16,2,0.5,3.0
0.307556,6.12428,2.47528e-07,2,16,2,1.0,0.5
0.307556,6.12428,2.50353e-07,2,16,2,1.0,1.0
0.307556,6.12428,2.53165e-07,2,16,2,1.0,1.5
0.307556,6.12428,2.55989e-07,2,16,2,1.0,2.0
0.307556,6.12428,2.58801e-07,2,16,2,1.0,2.5
0.307556,6.12428,2.6153e-07,2,16,2,1.0,3.0
0.307556,6.12428,2.47546e-07,2,16,2,1.5,0.5
0.390333,6.52164,2.52819e-07,2,16,2,1.5,1.0
0.390333,6.52164,2.56291e-07,2,16,2,1.5,1.5
0.390333,6.52164,2.59776e-07,2,16,2,1.5,2.0
0.390333,6.52164,2.63248e-07,2,16,2,1.5,2.5
0.390333,6.52164,2.66616e-07,2,16,2,1.5,3.0
0.390333,6.52164,2.49359e-07,2,16,2,2.0,0.5
0.390333,6.52164,2.52845e-07,2,16,2,2.0,1.0
0.390333,6.52164,2.56316e-07,2,16,2,2.0,1.5
0.390333,6.52164,2.59802e-07,2,16,2,2.0,2.0
0.390333,6.52164,2.63273e-07,2,16,2,2.0,2.5
0.390333,6.52164,2.66642e-07,2,16,2,2.0,3.0
0.390333,6.52164,2.49417e-07,2,16,2,2.5,0.5
0.390333,6.52164,2.52903e-07,2,16,2,2.5,1.0
0.390333,6.52164,2.56374e-07,2,16,2,2.5,1.5
0.390333,6.52164,2.5986e-07,2,16,2,2.5,2.0
0.390333,6.52164,2.63331e-07,2,16,2,2.5,2.5
0.390333,6.52164,2.667e-07,2,16,2,2.5,3.0
0.390333,6.52164,2.49421e-07,2,16,2,3.0,0.5
0.390333,6.52164,2.52907e-07,2,16,2,3.0,1.0
0.390333,6.52164,2.56378e-07,2,16,2,3.0,1.5
0.390333,6.52164,2.59864e-07,2,16,2,3.0,2.0
0.390333,6.52164,2.63335e-07,2,16,2,3.0,2.5
0.390333,6.52164,2.66704e-07,2,16,2,3.0,3.0
0.390333,6.58087,3.41559e-07,2,16,3,0.5,0.5
0.323667,5.75824,3.42931e-07,2,16,3,0.5,1.0
0.323667,5.75824,3.45832e-07,2,16,3,0.5,1.5
0.323667,5.75824,3.48746e-07,2,16,3,0.5,2.0
0.323667,5.75824,3.51647e-07,2,16,3,0.5,2.5
0.323667,5.75824,3.54463e-07,2,16,3,0.5,3.0
0.323667,5.75824,3.40023e-07,2,16,3,1.0,0.5
0.323667,5.75824,3.42937e-07,2,16,3,1.0,1.0
0.323667,5.75824,3.45838e-07,2,16,3,1.0,1.5
0.323667,5.75824,3.48751e-07,2,16,3,1.0,2.0
0.323667,5.75824,3.51653e-07,2,16,3,1.0,2.5
0.323667,5.75824,3.54468e-07,2,16,3,1.0,3.0
0.323667,5.75824,3.40041e-07,2,16,3,1.5,0.5
0.323667,5.75824,3.42954e-07,2,16,3,1.5,1.0
0.323667,5.75824,3.45855e-07,2,16,3,1.5,1.5
0.323667,5.75824,3.48769e-07,2,16,3,1.5,2.0
0.323667,5.75824,3.5167e-07,2,16,3,1.5,2.5
0.323667,5.75824,3.54486e-07,2,16,3,1.5,3.0
0.323667,5.75824,3.40066e-07,2,16,3,2.0,0.5
0.323667,5.75824,3.4298e-07,2,16,3,2.0,1.0
0.323667,5.75824,3.45881e-07,2,16,3,2.0,1.5
0.323667,5.75824,3.48795e-07,2,16,3,2.0,2.0
0.323667,5.75824,3.51696e-07,2,16,3,2.0,2.5
0.328333,6.11653,3.54811e-07,2,16,3,2.0,3.0
0.328333,6.11653,3.40227e-07,2,16,3,2.5,0.5
0.328333,6.11653,3.4318e-07,2,16,3,2.5,1.0
0.328333,6.11653,3.46121e-07,2,16,3,2.5,1.5
0.328333,6.11653,3.49074e-07,2,16,3,2.5,2.0
0.328333,6.11653,3.52015e-07,2,16,3,2.5,2.5
0.328333,6.11653,3.54869e-07,2,16,3,2.5,3.0
0.328333,6.11653,3.40232e-07,2,16,3,3.0,0.5
0.328333,6.11653,3.43185e-07,2,16,3,3.0,1.0
0.328333,6.11653,3.46125e-07,2,16,3,3.0,1.5
0.328333,6.11653,3.49079e-07,2,16,3,3.0,2.0
0.328333,6.11653,3.52019e-07,2,16,3,3.0,2.5
0.328333,6.11653,3.54873e-07,2,16,3,3.0,3.0
0.330111,6.00809,4.32491e-07,2,16,4,0.5,0.5
0.330111,6.00809,4.35489e-07,2,16,4,0.5,1.0
0.330111,6.00809,4.38474e-07,2,16,4,0.5,1.5
0.330111,6.00809,4.41472e-07,2,16,4,0.5,2.0
0.330111,6.00809,4.44458e-07,2,16,4,0.5,2.5
0.330111,6.00809,4.47355e-07,2,16,4,0.5,3.0
0.330111,6.00809,4.32497e-07,2,16,4,1.0,0.5
0.330111,6.00809,4.35495e-07,2,16,4,1.0,1.0
0.379778,6.40654,4.403e-07,2,16,4,1.0,1.5
0.379778,6.40654,4.43685e-07,2,16,4,1.0,2.0
0.379778,6.40654,4.47056e-07,2,16,4,1.0,2.5
