Throughput,Latency,Power,Buffer Depth,Flit Size,NUM_VC,r2h_len,r2r_len
0.391556,5.84354,1.56036e-07,2,16,1,0.5,0.5
0.391556,5.84354,1.59145e-07,2,16,1,0.5,1.0
0.391556,5.84354,1.62242e-07,2,16,1,0.5,1.5
0.391556,5.84354,1.65352e-07,2,16,1,0.5,2.0
0.391556,5.84354,1.68448e-07,2,16,1,0.5,2.5
0.391556,5.84354,1.71453e-07,2,16,1,0.5,3.0
0.391556,5.84354,1.56042e-07,2,16,1,1.0,0.5
0.391556,5.84354,1.59151e-07,2,16,1,1.0,1.0
0.391556,5.84354,1.62248e-07,2,16,1,1.0,1.5
0.391556,5.84354,1.65357e-07,2,16,1,1.0,2.0
0.391556,5.84354,1.68454e-07,2,16,1,1.0,2.5
0.391556,5.84354,1.71459e-07,2,16,1,1.0,3.0
0.391556,5.84354,1.56059e-07,2,16,1,1.5,0.5
0.391556,5.84354,1.59168e-07,2,16,1,1.5,1.0
0.391556,5.84354,1.62265e-07,2,16,1,1.5,1.5
0.391556,5.84354,1.65375e-07,2,16,1,1.5,2.0
0.391556,5.84354,1.68471e-07,2,16,1,1.5,2.5
0.391556,5.84354,1.71476e-07,2,16,1,1.5,3.0
0.391556,5.84354,1.56085e-07,2,16,1,2.0,0.5
0.391556,5.84354,1.59194e-07,2,16,1,2.0,1.0
0.391556,5.84354,1.62291e-07,2,16,1,2.0,1.5
0.391556,5.84354,1.65401e-07,2,16,1,2.0,2.0
0.429111,5.8323,1.70285e-07,2,16,1,2.0,2.5
0.429111,5.8323,1.73549e-07,2,16,1,2.0,3.0
0.429111,5.8323,1.56863e-07,2,16,1,2.5,0.5
0.429111,5.8323,1.6024e-07,2,16,1,2.5,1.0
0.429111,5.8323,1.63603e-07,2,16,1,2.5,1.5
0.429111,5.8323,1.6698e-07,2,16,1,2.5,2.0
0.429111,5.8323,1.70343e-07,2,16,1,2.5,2.5
0.429111,5.8323,1.73606e-07,2,16,1,2.5,3.0
0.429111,5.8323,1.56868e-07,2,16,1,3.0,0.5
0.429111,5.8323,1.60245e-07,2,16,1,3.0,1.0
0.429111,5.8323,1.63607e-07,2,16,1,3.0,1.5
0.429111,5.8323,1.66984e-07,2,16,1,3.0,2.0
0.429111,5.8323,1.70347e-07,2,16,1,3.0,2.5
0.429111,5.8323,1.73611e-07,2,16,1,3.0,3.0
0.426667,5.77755,2.4897e-07,2,16,2,0.5,0.5
0.426667,5.77755,2.52333e-07,2,16,2,0.5,1.0
0.426667,5.77755,2.55682e-07,2,16,2,0.5,1.5
0.426667,5.77755,2.59045e-07,2,16,2,0.5,2.0
0.426667,5.77755,2.62394e-07,2,16,2,0.5,2.5
0.426667,5.77755,2.65645e-07,2,16,2,0.5,3.0
0.426667,5.77755,2.48976e-07,2,16,2,1.0,0.5
0.426667,5.77755,2.52339e-07,2,16,2,1.0,1.0
0.426667,5.77755,2.55688e-07,2,16,2,1.0,1.5
0.426667,5.77755,2.59051e-07,2,16,2,1.0,2.0
0.426667,5.77755,2.624e-07,2,16,2,1.0,2.5
0.382,6.14419,2.6365e-07,2,16,2,1.0,3.0
0.382,6.14419,2.4829e-07,2,16,2,1.5,0.5
0.382,6.14419,2.51391e-07,2,16,2,1.5,1.0
0.382,6.14419,2.5448e-07,2,16,2,1.5,1.5
0.382,6.14419,2.57581e-07,2,16,2,1.5,2.0
0.382,6.14419,2.6067e-07,2,16,2,1.5,2.5
0.382,6.14419,2.63667e-07,2,16,2,1.5,3.0
0.382,6.14419,2.48315e-07,2,16,2,2.0,0.5
0.382,6.14419,2.51417e-07,2,16,2,2.0,1.0
0.382,6.14419,2.54506e-07,2,16,2,2.0,1.5
0.382,6.14419,2.57607e-07,2,16,2,2.0,2.0
0.382,6.14419,2.60696e-07,2,16,2,2.0,2.5
0.382,6.14419,2.63693e-07,2,16,2,2.0,3.0
0.382,6.14419,2.48373e-07,2,16,2,2.5,0.5
0.382,6.14419,2.51475e-07,2,16,2,2.5,1.0
0.382,6.14419,2.54563e-07,2,16,2,2.5,1.5
0.382,6.14419,2.57665e-07,2,16,2,2.5,2.0
0.382,6.14419,2.60753e-07,2,16,2,2.5,2.5
0.382,6.14419,2.63751e-07,2,16,2,2.5,3.0
0.382,6.14419,2.48377e-07,2,16,2,3.0,0.5
0.382,6.14419,2.51479e-07,2,16,2,3.0,1.0
0.382,6.14419,2.54568e-07,2,16,2,3.0,1.5
0.382,6.14419,2.57669e-07,2,16,2,3.0,2.0
0.398333,5.99109,2.61535e-07,2,16,2,3.0,2.5
0.398333,5.99109,2.64645e-07,2,16,2,3.0,3.0
0.399444,6.04222,3.40841e-07,2,16,3,0.5,0.5
0.399444,6.04222,3.44064e-07,2,16,3,0.5,1.0
0.399444,6.04222,3.47273e-07,2,16,3,0.5,1.5
0.399444,6.04222,3.50496e-07,2,16,3,0.5,2.0
0.399444,6.04222,3.53705e-07,2,16,3,0.5,2.5
0.399444,6.04222,3.56819e-07,2,16,3,0.5,3.0
0.399444,6.04222,3.40847e-07,2,16,3,1.0,0.5
0.399444,6.04222,3.4407e-07,2,16,3,1.0,1.0
0.399444,6.04222,3.47279e-07,2,16,3,1.0,1.5
0.399444,6.04222,3.50501e-07,2,16,3,1.0,2.0
0.399444,6.04222,3.53711e-07,2,16,3,1.0,2.5
0.399444,6.04222,3.56825e-07,2,16,3,1.0,3.0
0.399444,6.04222,3.40864e-07,2,16,3,1.5,0.5
0.399444,6.04222,3.44087e-07,2,16,3,1.5,1.0
0.399444,6.04222,3.47296e-07,2,16,3,1.5,1.5
0.399444,6.04222,3.50519e-07,2,16,3,1.5,2.0
0.399444,6.04222,3.53728e-07,2,16,3,1.5,2.5
0.399444,6.04222,3.56842e-07,2,16,3,1.5,3.0
0.399444,6.04222,3.4089e-07,2,16,3,2.0,0.5
0.399444,6.04222,3.44113e-07,2,16,3,2.0,1.0
0.375556,6.68558,3.46439e-07,2,16,3,2.0,1.5
0.375556,6.68558,3.49474e-07,2,16,3,2.0,2.0
0.375556,6.68558,3.52496e-07,2,16,3,2.0,2.5
0.375556,6.68558,3.55428e-07,2,16,3,2.0,3.0
0.375556,6.68558,3.4044e-07,2,16,3,2.5,0.5
0.375556,6.68558,3.43475e-07,2,16,3,2.5,1.0
0.375556,6.68558,3.46497e-07,2,16,3,2.5,1.5
0.375556,6.68558,3.49531e-07,2,16,3,2.5,2.0
0.375556,6.68558,3.52553e-07,2,16,3,2.5,2.5
0.375556,6.68558,3.55486e-07,2,16,3,2.5,3.0
0.375556,6.68558,3.40445e-07,2,16,3,3.0,0.5
0.375556,6.68558,3.43479e-07,2,16,3,3.0,1.0
0.375556,6.68558,3.46501e-07,2,16,3,3.0,1.5
0.375556,6.68558,3.49536e-07,2,16,3,3.0,2.0
0.375556,6.68558,3.52557e-07,2,16,3,3.0,2.5
0.375556,6.68558,3.5549e-07,2,16,3,3.0,3.0
0.375556,6.65248,4.32584e-07,2,16,4,0.5,0.5
0.375556,6.65248,4.35618e-07,2,16,4,0.5,1.0
0.375556,6.65248,4.3864e-07,2,16,4,0.5,1.5
0.375556,6.65248,4.41675e-07,2,16,4,0.5,2.0
0.375556,6.65248,4.44697e-07,2,16,4,0.5,2.5
0.375556,6.65248,4.47629e-07,2,16,4,0.5,3.0
0.410667,5.98701,4.33204e-07,2,16,4,1.0,0.5
0.410667,5.98701,4.36467e-07,2,16,4,1.0,1.0
0.410667,5.98701,4.39716e-07,2,16,4,1.0,1.5
0.410667,5.98701,4.42979e-07,2,16,4,1.0,2.0
0.410667,5.98701,4.46228e-07,2,16,4,1.0,2.5
0.410667,5.98701,4.49381e-07,2,16,4,1.0,3.0
0.410667,5.98701,4.33222e-07,2,16,4,1.5,0.5
0.410667,5.98701,4.36484e-07,2,16,4,1.5,1.0
0.410667,5.98701,4.39733e-07,2,16,4,1.5,1.5
0.410667,5.98701,4.42996e-07,2,16,4,1.5,2.0
0.410667,5.98701,4.46245e-07,2,16,4,1.5,2.5
0.410667,5.98701,4.49398e-07,2,16,4,1.5,3.0
0.410667,5.98701,4.33248e-07,2,16,4,2.0,0.5
